time_seconds,time_minutes,linear_extrusion_rate_mm_s,volumetric_extrusion_rate_mm3_s,filament_extruded_mm,feedrate_mm_min,movement_distance_mm
0.3192,0.0053,12.9979,31.2635,0.5949,5760.0,4.3936
0.3304,0.0055,12.9983,31.2646,0.1454,5760.0,1.0736
0.3342,0.0056,12.9975,31.2627,0.0498,5760.0,0.3679
0.3376,0.0056,12.9969,31.2612,0.044,5760.0,0.325
0.3407,0.0057,12.9988,31.2658,0.0403,5760.0,0.2976
0.3437,0.0057,12.9972,31.2619,0.0392,5760.0,0.2893
0.3468,0.0058,12.9985,31.2651,0.0401,5760.0,0.2964
0.3501,0.0058,12.9978,31.2633,0.0428,5760.0,0.3163
0.3538,0.0059,12.9984,31.2648,0.0477,5760.0,0.3524
0.3585,0.006,12.9975,31.2625,0.0616,5760.0,0.455
0.3629,0.006,12.9987,31.2656,0.057,5760.0,0.4206
0.3672,0.0061,12.9968,31.261,0.0558,5760.0,0.4123
0.3718,0.0062,12.9974,31.2623,0.0599,5760.0,0.4424
0.3742,0.0062,12.9997,31.2678,0.0305,5760.0,0.2251
0.379,0.0063,12.9987,31.2655,0.0627,5760.0,0.4629
0.3845,0.0064,12.9973,31.2621,0.0712,5760.0,0.5259
0.388,0.0065,12.9974,31.2623,0.0461,5760.0,0.3403
0.4666,0.0078,12.9983,31.2646,0.1454,5760.0,1.0736
0.4704,0.0078,12.9975,31.2627,0.0498,5760.0,0.3679
0.4738,0.0079,12.9969,31.2612,0.044,5760.0,0.325
0.4769,0.0079,12.9987,31.2654,0.0402,5760.0,0.2969
0.4799,0.008,12.9972,31.2619,0.0392,5760.0,0.2898
0.483,0.008,12.9983,31.2644,0.0401,5760.0,0.296
0.4863,0.0081,12.9994,31.2673,0.0427,5760.0,0.3156
0.4899,0.0082,12.997,31.2613,0.0478,5760.0,0.3534
0.4947,0.0082,12.9984,31.2647,0.0616,5760.0,0.4551
0.4991,0.0083,12.9968,31.261,0.0569,5760.0,0.4203
0.5033,0.0084,12.9987,31.2656,0.0558,5760.0,0.412
0.508,0.0085,12.9977,31.2631,0.0599,5760.0,0.4424
0.5103,0.0085,12.9997,31.2678,0.0305,5760.0,0.2251
0.5151,0.0086,12.9989,31.266,0.0627,5760.0,0.4633
0.5206,0.0087,12.9981,31.2641,0.0711,5760.0,0.5253
0.5254,0.0088,12.9989,31.266,0.0624,5760.0,0.4607
0.5699,0.0095,12.9979,31.2636,0.5786,5760.0,4.2736
0.6163,0.0103,12.9971,31.2617,0.0422,5760.0,0.3114
0.6229,0.0104,12.9975,31.2626,0.0854,5760.0,0.6311
0.6263,0.0104,12.9975,31.2626,0.0441,5760.0,0.326
0.6328,0.0105,12.9983,31.2645,0.0844,5760.0,0.6234
0.6393,0.0107,12.9983,31.2645,0.085,5760.0,0.6281
0.6459,0.0108,12.9977,31.263,0.0859,5760.0,0.6347
0.6526,0.0109,12.9977,31.263,0.0875,5760.0,0.6465
0.6617,0.011,12.9981,31.2642,0.1178,5760.0,0.8697
0.6665,0.0111,12.9987,31.2654,0.0621,5760.0,0.459
0.6745,0.0112,12.9975,31.2626,0.1048,5760.0,0.7744
0.6823,0.0114,12.9984,31.2648,0.1003,5760.0,0.7409
0.6896,0.0115,12.998,31.2638,0.0956,5760.0,0.7058
0.6933,0.0116,12.9969,31.2611,0.0482,5760.0,0.3563
0.7003,0.0117,12.9981,31.264,0.0907,5760.0,0.6702
0.7072,0.0118,12.9973,31.2621,0.0892,5760.0,0.6592
0.7139,0.0119,12.9985,31.2651,0.0877,5760.0,0.6476
0.7206,0.012,12.9979,31.2635,0.0868,5760.0,0.6408
0.7273,0.0121,12.9986,31.2652,0.0871,5760.0,0.6435
0.7339,0.0122,12.9978,31.2635,0.0857,5760.0,0.6329
0.7404,0.0123,12.9976,31.263,0.0845,5760.0,0.624
0.7468,0.0124,12.9981,31.264,0.083,5760.0,0.6127
0.7501,0.0125,12.9965,31.2603,0.0438,5760.0,0.3233
0.7566,0.0126,12.9973,31.2621,0.0838,5760.0,0.6189
0.7632,0.0127,12.9978,31.2635,0.0863,5760.0,0.6374
0.7701,0.0128,12.9979,31.2636,0.0886,5760.0,0.6548
0.7771,0.013,12.9975,31.2626,0.0919,5760.0,0.6791
0.7841,0.0131,12.9983,31.2645,0.0909,5760.0,0.6716
0.7909,0.0132,12.9987,31.2655,0.088,5760.0,0.6495
0.7975,0.0133,12.9972,31.262,0.0857,5760.0,0.6326
0.804,0.0134,12.9985,31.265,0.0844,5760.0,0.6233
0.8104,0.0135,12.9984,31.2648,0.0837,5760.0,0.6185
0.8169,0.0136,12.9981,31.2641,0.0839,5760.0,0.6199
0.8234,0.0137,12.9976,31.2628,0.0849,5760.0,0.627
0.8301,0.0138,12.9983,31.2645,0.0871,5760.0,0.6435
0.8368,0.0139,12.9985,31.265,0.0872,5760.0,0.6439
0.8435,0.0141,12.9979,31.2637,0.0867,5760.0,0.6403
0.8502,0.0142,12.9974,31.2625,0.0872,5760.0,0.644
0.857,0.0143,12.9974,31.2624,0.0884,5760.0,0.6529
0.8639,0.0144,12.9977,31.2631,0.0895,5760.0,0.661
0.8675,0.0145,12.9987,31.2655,0.0475,5760.0,0.3507
0.8747,0.0146,12.9983,31.2647,0.0937,5760.0,0.6919
0.8823,0.0147,12.9973,31.2621,0.0977,5760.0,0.7218
0.89,0.0148,12.9985,31.265,0.1009,5760.0,0.7453
0.8975,0.015,12.998,31.2639,0.0975,5760.0,0.7198
0.9048,0.0151,12.9973,31.2621,0.0941,5760.0,0.6949
0.9118,0.0152,12.9979,31.2635,0.091,5760.0,0.6721
0.9186,0.0153,12.9984,31.2647,0.0889,5760.0,0.6566
0.9253,0.0154,12.9981,31.264,0.0876,5760.0,0.6467
0.932,0.0155,12.9979,31.2635,0.0869,5760.0,0.6421
0.9387,0.0156,12.9987,31.2655,0.0871,5760.0,0.643
0.9454,0.0158,12.9979,31.2637,0.0874,5760.0,0.6456
0.952,0.0159,12.9986,31.2653,0.0852,5760.0,0.6291
0.9584,0.016,12.9972,31.2619,0.0837,5760.0,0.6185
0.9648,0.0161,12.9982,31.2642,0.0831,5760.0,0.614
0.9709,0.0162,12.9973,31.2622,0.0789,5760.0,0.5828
0.9745,0.0162,12.9989,31.266,0.0473,5760.0,0.3493
0.981,0.0164,12.9983,31.2645,0.0844,5760.0,0.6235
0.9877,0.0165,12.9976,31.2629,0.0865,5760.0,0.6387
0.9912,0.0165,12.9972,31.2618,0.0459,5760.0,0.3392
0.9983,0.0166,12.9981,31.2641,0.0917,5760.0,0.6773
1.0053,0.0168,12.9977,31.263,0.0915,5760.0,0.6755
1.0121,0.0169,12.9976,31.2629,0.0885,5760.0,0.6537
1.0188,0.017,12.9978,31.2633,0.0865,5760.0,0.6391
1.0253,0.0171,12.9972,31.262,0.0852,5760.0,0.6292
1.0319,0.0172,12.9975,31.2627,0.0849,5760.0,0.627
1.0384,0.0173,12.9976,31.263,0.0851,5760.0,0.6286
1.0451,0.0174,12.9978,31.2634,0.0862,5760.0,0.6366
1.0473,0.0175,12.996,31.2591,0.029,5760.0,0.2142
1.0561,0.0176,12.9977,31.263,0.0179,5760.0,0.1321
1.0835,0.0181,12.9981,31.2641,0.3566,5760.0,2.634
1.1108,0.0185,12.9981,31.264,0.3551,5760.0,2.623
1.1366,0.0189,12.9979,31.2636,0.3344,5760.0,2.4701
1.142,0.019,12.998,31.2638,0.0704,5760.0,0.5197
1.1447,0.0191,12.9985,31.2651,0.036,5760.0,0.2656
1.1496,0.0192,12.9987,31.2654,0.0633,5760.0,0.4673
1.1542,0.0192,12.9972,31.2618,0.0594,5760.0,0.439
1.1565,0.0193,12.9959,31.2588,0.0298,5760.0,0.2201
1.1606,0.0193,12.998,31.2639,0.053,5760.0,0.3917
1.1663,0.0194,12.9988,31.2657,0.0752,5760.0,0.5553
1.1742,0.0196,12.9978,31.2633,0.1025,5760.0,0.7567
1.1837,0.0197,12.9977,31.263,0.1238,5760.0,0.9146
1.1916,0.0199,12.9983,31.2645,0.1017,5760.0,0.7513
1.1989,0.02,12.9983,31.2646,0.0948,5760.0,0.7004
1.2005,0.02,12.9963,31.2596,0.0214,5760.0,0.1584
1.2022,0.02,12.996,31.2591,0.0215,5760.0,0.1591
1.204,0.0201,12.9993,31.267,0.0232,5760.0,0.1714
1.2094,0.0202,12.9984,31.2648,0.0707,5760.0,0.5221
1.2158,0.0203,12.9977,31.2632,0.0838,5760.0,0.6192
1.2251,0.0204,13.0016,31.2724,0.0177,5760.0,0.1311
1.3274,0.0221,12.9979,31.2636,1.3302,5760.0,9.8245
1.3511,0.0225,12.9979,31.2637,0.3083,5760.0,2.2768
1.3548,0.0226,12.9968,31.2611,0.0474,5760.0,0.3501
1.3618,0.0227,12.9979,31.2637,0.0916,5760.0,0.6764
1.3658,0.0228,12.9975,31.2626,0.0514,5760.0,0.3798
1.3711,0.0229,12.9977,31.2631,0.0693,5760.0,0.5115
1.3738,0.0229,12.9989,31.2659,0.0347,5760.0,0.2566
1.3784,0.023,12.9988,31.2658,0.0609,5760.0,0.4495
1.3833,0.0231,12.997,31.2614,0.0636,5760.0,0.4696
1.3883,0.0231,12.9978,31.2634,0.0649,5760.0,0.4794
1.3947,0.0232,12.9976,31.2629,0.0833,5760.0,0.615
1.4192,0.0237,12.9981,31.2641,0.3178,5760.0,2.347
1.4275,0.0238,12.9979,31.2637,0.1074,5760.0,0.7935
1.43,0.0238,12.9977,31.2631,0.0328,5760.0,0.2423
1.4322,0.0239,12.9998,31.2682,0.0291,5760.0,0.2149
1.4344,0.0239,12.9983,31.2645,0.0283,5760.0,0.2092
1.4373,0.024,12.9979,31.2636,0.0371,5760.0,0.2742
1.4386,0.024,12.9958,31.2585,0.017,5760.0,0.1253
1.4411,0.024,12.9976,31.2629,0.0327,5760.0,0.2414
1.4438,0.0241,12.997,31.2614,0.035,5760.0,0.2588
1.4476,0.0241,12.9982,31.2643,0.0501,5760.0,0.3701
1.4495,0.0242,12.9964,31.26,0.0246,5760.0,0.1813
1.4544,0.0242,12.9974,31.2625,0.063,5760.0,0.465
1.4569,0.0243,12.9987,31.2656,0.0325,5760.0,0.2397
1.4628,0.0244,12.9976,31.2629,0.0771,5760.0,0.5696
1.5196,0.0253,12.998,31.2639,0.7385,5760.0,5.4541
1.5349,0.0256,12.9977,31.2632,0.1986,5760.0,1.4665
1.5421,0.0257,12.9986,31.2652,0.0944,5760.0,0.6973
1.5532,0.0259,12.9973,31.2621,0.0739,5760.0,0.5462
1.558,0.026,12.9979,31.2635,0.0624,5760.0,0.4607
1.5663,0.0261,12.9985,31.2651,0.108,5760.0,0.7975
1.5758,0.0263,12.9983,31.2646,0.1236,5760.0,0.9126
1.5797,0.0263,12.9981,31.2642,0.0514,5760.0,0.3798
1.5836,0.0264,12.999,31.2662,0.0501,5760.0,0.3698
1.5874,0.0265,12.997,31.2615,0.0491,5760.0,0.3627
1.5911,0.0265,12.9979,31.2635,0.0483,5760.0,0.3568
1.5948,0.0266,12.9967,31.2608,0.0478,5760.0,0.3528
1.5984,0.0266,12.9984,31.2647,0.0476,5760.0,0.3516
1.6022,0.0267,12.9988,31.2657,0.0485,5760.0,0.3581
1.6059,0.0268,12.9979,31.2637,0.048,5760.0,0.3549
1.6095,0.0268,12.9969,31.2611,0.0476,5760.0,0.352
1.6132,0.0269,12.9982,31.2643,0.0484,5760.0,0.3571
1.617,0.027,12.9991,31.2664,0.049,5760.0,0.3622
1.6209,0.027,12.997,31.2615,0.0501,5760.0,0.3698
1.6249,0.0271,12.997,31.2614,0.0523,5760.0,0.3861
1.633,0.0272,12.9979,31.2637,0.1051,5760.0,0.7765
